n12267677,n07753113,n07749582,n01440764,n03775071
n06785654,n04118776,n03032252,n04238763,n04201297
n09421951,n04606251,n09428293,n09332890,n09399592
n01855672,n01843383,n02091244,n02012849,n01847000
n02281406,n01440764,n03775071,n03775546,n03776460
n04296562,n03495258,n02777292,n03888605,n03032252
n01773549,n01773797,n01773157,n01775062,n02229544
n02127052,n02114855,n02123159,n02119789,n02326432
n02090622,n02111500,n02101556,n02100735,n02104029
n02088094,n02105251,n02111129,n01440764,n03776460
n04125021,n03782006,n03180011,n04009552,n03777754
n01751748,n01728572,n01728920,n01737021,n01930112
n04532106,n03485794,n02730930,n03630383,n04209239
n02090622,n02111500,n02111889,n02104029,n02105641
n03444034,n04037443,n04465501,n03345487,n04461696
n04493381,n04606251,n03697007,n02747177,n03933933
n03908714,n02823428,n03666591,n04116512,n03876231
n02028035,n01532829,n01440764,n03775546,n03776460
n02077923,n02088238,n02092339,n02107142,n02090379
n02017213,n01537544,n01795545,n01806143,n01820546
n03788195,n03220513,n03903868,n03877845,n04562935
n02127052,n02123159,n02125311,n02124075,n02123045
n04317175,n03584254,n03425413,n03584829,n03692522
n02108000,n02107908,n02107683,n02107574,n01440764
n01984695,n10565667,n01910747,n04606251,n03857828
n03041632,n03887697,n03759954,n03483316,n04380533
n02090721,n02092002,n02100735,n02113712,n02105641
n02089867,n02088364,n02089973,n02088238,n02088632
n03494278,n03372029,n03759954,n10148035,n03676483
n01737021,n04275548,n02007558,n02002724,n01443537
n02442845,n02441942,n02113799,n01883070,n02361337
n01819313,n02058221,n01855672,n02009912,n01796340
n03697007,n02727426,n02776631,n04486054,n03127925
n03841143,n02708093,n03706229,n04019541,n02794156
n03459775,n02974003,n02708093,n03197337,n04328186
n03777568,n04465501,n04461696,n03791053,n02974003
n03417042,n04461696,n03594945,n04467665,n03496892
n02110185,n02109961,n02110063,n02091467,n02115641
n03388549,n03976657,n04201297,n03899768,n02788148
n03924679,n04004767,n04592741,n03376595,n03773504
n02672831,n04118776,n03777754,n03759954,n03272010
n02165456,n02169497,n01440764,n03776460,n03777568
n03207743,n03775071,n04599235,n02730930,n04591157
n04136333,n04254680,n03710721,n03710637,n04371430
n03485794,n02808304,n03887697,n02808440,n02971356
n04039381,n03942813,n04409515,n04037443,n04204347
n04162706,n02977058,n03995372,n02992529,n03832673
n04462240,n03970156,n03089624,n03887697,n03461385
n04019541,n03814639,n04591713,n03929660,n04356056
n01608432,n01530575,n01534433,n01580077,n01601694
n03496892,n04465501,n04428191,n03376595,n03967562
n02951585,n04067472,n03109150,n03954731,n03208938
n02099429,n02099849,n02100877,n02100236,n02099267
n03110669,n04141076,n04487394,n03372029,n03838899
n01883070,n02395406,n02113978,n02396427,n01440764
n02966193,n04081281,n04523525,n03388043,n03443371
n01494475,n02058221,n02640242,n01484850,n01601694
n02110341,n03838899,n02130308,n04536866,n02100735
n07716358,n03680355,n03047690,n04423845,n07718472
n03871628,n04357314,n07248320,n04476259,n02786058
n04486054,n03891251,n03930313,n04355338,n09421951
n04162706,n03594734,n03770439,n03595614,n03250847
n02443484,n02443114,n02441942,n03775546,n03776460
n02110063,n02110185,n02105855,n02109961,n02113023
n04509417,n04482393,n02835271,n03785016,n04254680
n02108089,n02093256,n02108422,n02112706,n02093428
n04026417,n03709823,n04423845,n04548362,n03207743
n01748264,n01756291,n01753488,n01729322,n01737021
n03710721,n02807133,n03710637,n04371430,n02837789
n02091467,n02110185,n02110063,n02123597,n02105412
n02110341,n02109047,n03775546,n03776460,n03777568
n02100583,n02099849,n04409515,n02090721,n03134739
n01819313,n02058221,n02091134,n02077923,n07753592
n02966193,n04081281,n04462240,n03089624,n02927161
n03272562,n03895866,n03874293,n03393912,n02793495
n02787622,n03372029,n03838899,n02804610,n03970156
n12267677,n12768682,n01944390,n13044778,n03697007
n03527444,n03954731,n04141327,n03666591,n03908714
n02105162,n02110958,n02091467,n02123597,n02085620
n01689811,n01644900,n01641577,n01685808,n01687978
n02791270,n04429376,n04443257,n04081281,n02776631
n01729322,n01740131,n01753488,n07695742,n01734418
n02095889,n02093647,n02095314,n02100735,n02095570
n07920052,n07930864,n03063599,n04263257,n03692522
n01910747,n01496331,n01494475,n10565667,n01498041
n02108000,n02107683,n02107574,n02107908,n02105412
n03895866,n02788148,n02951358,n04146614,n02917067
n02086079,n02112706,n02112350,n02112018,n02493509
n03127747,n03594945,n04355338,n02536864,n02895154
n13037406,n01440764,n03775071,n03775546,n03776460
n03876231,n04367480,n04033901,n04228054,n03873416
n03970156,n03787032,n04493381,n04235860,n03325584
n01692333,n01440764,n03775546,n03776460,n03777568
n03717622,n04355338,n03223299,n02794156,n03920288
n02101388,n02109525,n02085620,n02108089,n02102040
n04355338,n03891251,n04458633,n02950826,n03498962
n04037443,n02974003,n03445924,n04461696,n03777568
n02966687,n03492542,n04392985,n03976467,n02988304
n03887697,n15075141,n03970156,n02786058,n04033901
n02804414,n03125729,n03131574,n04404412,n03494278
n01983481,n01978287,n07579787,n01981276,n01985128
n04277352,n04597913,n04090263,n03976657,n07697537
n03874599,n03876231,n02747177,n03710193,n04367480
n02782093,n03888257,n03935335,n03724870,n04254680
n11879895,n04465501,n03496892,n03967562,n02692877
n02002724,n02037110,n02028035,n02017213,n01855032
n03775546,n04263257,n03920288,n03793489,n03443371
n03804744,n03481172,n04153751,n04141327,n03658185
n02256656,n01629819,n01630670,n01632458,n01669191
n02099601,n02100877,n02102318,n02099712,n02099267
n02058221,n01608432,n01855672,n01560419,n01855032
n01531178,n01440764,n03775071,n03775546,n03776460
n02114712,n02119022,n02115913,n01877812,n02119789
n03494278,n03794056,n03777754,n04238763,n03908714
n03874293,n03697007,n02793495,n04204347,n03028079
n03793489,n04596742,n03400231,n03633091,n04023962
n02786058,n03908618,n04116512,n03908714,n04154565
n04209239,n03690938,n03916031,n03476991,n15075141
n03776460,n02859443,n03028079,n04065272,n02814860
n01818515,n01820546,n02835271,n03873416,n01828970
n02114548,n02114367,n02114855,n02111889,n02115641
n03814639,n02869837,n02834397,n02667093,n04325704
n03485794,n02834397,n03908618,n03871628,n03938244
n04456115,n02948072,n04296562,n04081281,n04286575
n03394916,n04523525,n04418357,n03065424,n03032252
n04346328,n04228054,n04507155,n03980874,n04456115
n01776313,n01770393,n01986214,n01773549,n03776460
n02085620,n02113023,n02124075,n03958227,n02123045
n02356798,n01580077,n02120505,n02114855,n02114367
n03895866,n03272562,n02917067,n04335435,n04487081
n02963159,n03775071,n04599235,n03223299,n04254777
n01883070,n02395406,n02444819,n02398521,n02077923
n03355925,n03976657,n04008634,n03788195,n04467665
n02231487,n02236044,n02226429,n01770081,n01985128
n03417042,n04467665,n03796401,n04461696,n03776460
n02089078,n02106550,n02088238,n02088466,n02108000
n02101388,n02102177,n02101556,n02088238,n02100583
n04200800,n03461385,n03089624,n12144580,n02666196
n02011460,n02051845,n02009912,n02006656,n02002556
n02097047,n02097209,n02112706,n02094433,n02097658
n04326547,n02488702,n02497673,n02488291,n02128757
n01985128,n01984695,n01983481,n01986214,n01978455
n03110669,n04487394,n03394916,n04141076,n02966193
n04090263,n03804744,n03372029,n02002556,n02002724
n04141327,n03476684,n03658185,n03109150,n02951585
n11939491,n01440764,n03775071,n03775546,n03776460
n02098413,n02097474,n02085936,n02105641,n02105251
n04557648,n04049303,n03924679,n04254120,n02747177
n07754684,n07749582,n07742313,n07747607,n12267677
n01632777,n12144580,n13133613,n07753113,n07734744
n03742115,n04553703,n03179701,n02808440,n04152593
n04149813,n03598930,n04462240,n03983396,n03461385
n02481823,n02484975,n02483708,n02493793,n02488702
n03947888,n04147183,n03216828,n03095699,n01440764
n01534433,n01532829,n01530575,n02027492,n01608432
n03461385,n07753275,n07753592,n03457902,n07760859
n02834397,n03485794,n04476259,n04209239,n03938244
n03124043,n03992509,n04209239,n01748264,n03920288
n04523525,n04209239,n03042490,n03467068,n04040759
n03584254,n02992529,n03485407,n04074963,n03196217
n02233338,n01985128,n01980166,n01986214,n01978455
n03930313,n03876231,n03854065,n04604644,n04270147
n04336792,n01981276,n02910353,n03000684,n03127925
n03884397,n04127249,n04201297,n04501370,n03961711
n01601694,n01534433,n02018207,n01795545,n03791053
n04560804,n03950228,n03775546,n07920052,n07930864
n02514041,n01440764,n02536864,n02640242,n02641379
n03417042,n04252225,n03126707,n04461696,n03496892
n02776631,n07614500,n04270147,n07697537,n07579787
n01873310,n02977058,n04023962,n04557648,n03255030
n03344393,n02981792,n04483307,n02859443,n03673027
n02088632,n02108000,n02089867,n02107908,n02107574
n02105162,n02106662,n02087394,n02105412,n02090379
n02108551,n01440764,n03775546,n03776460,n03777568
n01729322,n01744401,n01740131,n01742172,n01728920
n02483708,n02483362,n02134418,n02488291,n02481823
n02104365,n03223299,n03887697,n02106166,n02113186
n02909870,n03062245,n02815834,n03733805,n04355933
n03584829,n03424325,n03492542,n03777754,n03187595
n03496892,n04467665,n03794056,n04204347,n04461696
n02087394,n02099712,n02115641,n02105162,n02088466
n03476684,n04548280,n03787032,n03804744,n04086273
n07718472,n07716358,n01945685,n07714571,n03991062
n01641577,n01644900,n01644373,n02655020,n01675722
n04149813,n03871628,n06596364,n03461385,n04443257
n02843684,n03527444,n03840681,n03954731,n02277742
n04357314,n02909870,n04557648,n03690938,n03958227
n04259630,n03124170,n02869837,n02489166,n13054560
n03874599,n03291819,n04179913,n02971356,n03954731
n04423845,n03759954,n04133789,n03794056,n03483316
n03249569,n02747177,n02909870,n04447861,n04560804
n04111531,n01943899,n01677366,n02398521,n01986214
n02939185,n03146219,n02795169,n02909870,n02895154
n04149813,n04008634,n03355925,n03773504,n06874185
n02114712,n02119022,n02115913,n02119789,n02115641
n03384352,n02930766,n04252225,n02704792,n03417042
n03841143,n02860847,n04141975,n03770679,n02977058
n02837789,n04371430,n02892767,n03710637,n04136333
n03995372,n02749479,n04372370,n04067472,n04428191
n02361337,n09468604,n02132136,n09193705,n09246464
n02100236,n02101388,n02089867,n02088632,n01440764
n01728920,n01740131,n01749939,n01729322,n01728572
n03594945,n03770679,n02974003,n02701002,n03930630
n02229544,n02268443,n02226429,n01784675,n01985128
n07875152,n04263257,n03063599,n07930864,n02939185
n02834397,n03476684,n03188531,n03223299,n03720891
n02108551,n02111277,n02106166,n02106030,n02102318
n01531178,n01530575,n01828970,n01560419,n01558993
n03485794,n04367480,n04033901,n03476684,n03627232
n02106382,n02097474,n02105641,n02105251,n02090721
n03584254,n02992529,n04074963,n03692522,n02988304
n04009552,n04004767,n02988304,n03529860,n03691459
n04141076,n03272010,n03249569,n04487394,n03721384
n03876231,n04589890,n02906734,n02319095,n09472597
n02012849,n01855672,n02018795,n02009229,n02002556
n02786058,n03871628,n06794110,n03223299,n03794056
n01608432,n01614925,n01622779,n01514859,n02490219
n02206856,n02219486,n02190166,n02280649,n02281787
n01631663,n01532829,n02165456,n01797886,n02219486
n03100240,n03777568,n03930630,n04461696,n04285008
n04133789,n03047690,n03680355,n03314780,n04423845
n03180011,n03782006,n03832673,n03642806,n04152593
n03538406,n04192698,n03127747,n03868242,n03146219
n02782093,n02692877,n03888257,n03944341,n03355925
n03595614,n02667093,n04525038,n03045698,n04591157
n09472597,n09399592,n09332890,n09428293,n02894605
n07749582,n07747607,n03134739,n07716906,n07753592
n04044716,n04562935,n04258138,n02692877,n03445777
n03095699,n03662601,n03933933,n03216828,n03680355
n02096177,n02097658,n02098105,n02105251,n02097474
n01728920,n01734418,n03065424,n01986214,n01740131
n03538406,n03868242,n02403003,n02089973,n02088094
n01806143,n02437616,n02113799,n02098105,n03777568
n02088238,n02088364,n02088466,n02088632,n02089867
n04501370,n02871525,n04005630,n02747177,n03661043
n09229709,n03271574,n03207941,n03032252,n02917067
n04423845,n01440764,n03775071,n03775546,n03776460
n02117135,n02397096,n02113978,n02114712,n02119789
n02105056,n02134418,n02133161,n02104365,n02106382
n02090379,n02087394,n02100877,n02107312,n02088364
n02264363,n01776313,n02177972,n02219486,n01990800
n02101006,n02106550,n02089078,n02100735,n02107142
n04515003,n04344873,n03891251,n03494278,n03961711
n02870880,n03661043,n02871525,n06596364,n03775546
n04548280,n02877765,n03187595,n04019541,n02708093
n04465501,n03930630,n04461696,n04285008,n04428191
n02980441,n03028079,n02793495,n03877845,n03781244
n02268853,n02268443,n02879718,n04317175,n02999410
n15075141,n03908714,n04127249,n07930864,n03887697
n01877812,n02125311,n02127052,n02497673,n02325366
n02699494,n04523525,n03028079,n03854065,n03781244
n12985857,n07714990,n07714571,n09256479,n01914609
n02454379,n02356798,n01688243,n01677366,n02113978
n04326547,n03743016,n03763968,n07760859,n04435653
n02109525,n02102040,n02106166,n02107574,n02096585
n01560419,n01828970,n01558993,n01531178,n01833805
n02109047,n02093428,n02091134,n02108422,n02105162
n04336792,n04509417,n04456115,n03599486,n03141823
n02687172,n04347754,n02641379,n02536864,n02066245
n02094433,n02086240,n02096294,n02097658,n02098413
n03452741,n04111531,n06874185,n04501370,n04515003
n02804610,n02895154,n03146219,n03929855,n02817516
n02807133,n03255030,n04371430,n03787032,n04507155
n04065272,n03769881,n03895866,n02701002,n03776460
n02481823,n02483708,n02480855,n02484975,n02483362
n04090263,n02749479,n04336792,n02879718,n04209239
n03208938,n03602883,n03187595,n02988304,n02841315
n02096437,n02113624,n02113712,n02102318,n02113799
n01494475,n01498041,n02317335,n09256479,n01491361
n02174001,n01986214,n02169497,n01985128,n01978455
n04525305,n02747177,n03127925,n04070727,n03710193
n04039381,n03942813,n04409515,n04296562,n03720891
n03956157,n02966193,n03788195,n01704323,n04008634
n13037406,n13052670,n13044778,n12985857,n01440764
n02494079,n02493509,n02500267,n02493793,n02484975
n04258138,n04099969,n03496892,n03967562,n04204347
n04208210,n03388549,n03131574,n04099969,n04201297
n01843383,n02056570,n01829413,n01847000,n02058221
n02786058,n01728920,n01739381,n02837789,n01751748
n02791124,n04330267,n04179913,n03297495,n03063689
n02325366,n02326432,n02277742,n01440764,n03776460
n02445715,n02364673,n02096294,n02442845,n02094433
n09256479,n02319095,n02643566,n03325584,n07730033
n03874293,n03873416,n04208210,n04367480,n04204347
n01748264,n03482405,n01768244,n04259630,n04204238
n01629819,n01632458,n01630670,n01440764,n03775546
n04366367,n09468604,n04417672,n04532670,n04604644
n04372370,n02979186,n03761084,n04265275,n04392985
n03271574,n03207941,n03457902,n02974003,n03773504
n03160309,n02859443,n09332890,n04501370,n03216828
n02096585,n02113186,n02108089,n02093256,n02102040
n01614925,n02009912,n01819313,n01608432,n02006656
n02017213,n01440764,n03775546,n03776460,n03777568
n03271574,n03929660,n04019541,n04254680,n02988304
n04277352,n04591157,n04254777,n03775071,n04033901
n02106030,n02105855,n02109961,n02110063,n02106166
n04465501,n03496892,n04428191,n03967562,n03649909
n04270147,n03400231,n07753275,n04332243,n07716358
n03249569,n03720891,n04355933,n04118538,n02807133
n01514668,n01514859,n01440764,n03775546,n03776460
n10148035,n03787032,n02669723,n02883205,n04350905
n02397096,n02113978,n02396427,n02395406,n02093428
n07697313,n07875152,n07583066,n07693725,n07711569
n03697007,n03538406,n04428191,n03868242,n04429376
n03887697,n03485794,n02808304,n15075141,n02963159
n06596364,n03602883,n07248320,n04458633,n02667093
n01855032,n02071294,n02017213,n02066245,n02037110
n03908618,n04476259,n04118776,n03777754,n04357314
n02086910,n02105855,n02086646,n02107683,n02085782
n03970156,n04317175,n04597913,n03026506,n03825788
n02104365,n02105056,n02105412,n02097298,n02091467
n03445777,n02782093,n04562935,n03956157,n04254680
n02011460,n01440764,n03775546,n03776460,n03777568
n07695742,n02950826,n01632458,n03495258,n01630670
n04344873,n03131574,n03125729,n02804414,n04033995
n01669191,n01667778,n01667114,n02454379,n01748264
n02437312,n02091032,n02099712,n02092339,n02110958
n01534433,n01580077,n01537544,n01530575,n01582220
n02097474,n02086240,n02098413,n02097047,n02094433
n02701002,n03977966,n03769881,n04065272,n03796401
n03208938,n03271574,n03929660,n02999410,n01440764
n03676483,n04116512,n03255030,n04270147,n07615774
n03188531,n04371430,n04235860,n02786058,n04591157
n01755581,n01729322,n01740131,n01756291,n01735189
n02108915,n02096585,n02110958,n02093256,n02112706
n01756291,n01753488,n01729322,n01755581,n01644900
n02100877,n02088094,n02101006,n02088466,n02102480
n03063689,n04596742,n03633091,n02790996,n04399382
n03662601,n03775071,n03775546,n03776460,n03777568
n01770393,n01986214,n01980166,n01978455,n02172182
n07579787,n07590611,n04263257,n03633091,n04596742
n03085013,n04505470,n04264628,n03793489,n02823428
n06596364,n03026506,n03598930,n02730930,n03944341
n02396427,n02395406,n02133161,n01877812,n02397096
n02102040,n02106166,n02102318,n02097474,n02113186
n03794056,n04476259,n04179913,n03544143,n04560804
n04409515,n03942813,n07749582,n03134739,n03720891
n02281406,n02281787,n02277742,n02280649,n01440764
n01440764,n04482393,n03535780,n02100583,n03710721
n01945685,n01665541,n02066245,n04208210,n01737021
n03992509,n03876231,n03483316,n04317175,n04009552
n01978287,n01981276,n01983481,n04596742,n01984695
n02119022,n02119789,n02114712,n02120505,n01440764
n02169497,n02264363,n02177972,n02190166,n02167151
n03991062,n04049303,n02909870,n03764736,n04522168
n04465501,n03594945,n04461696,n04467665,n03777568
n07613480,n07614500,n07930864,n04131690,n03876231
n01990800,n01768244,n03876231,n04522168,n03775071
n01534433,n01530575,n01592084,n01440764,n03788365
n03769881,n03770679,n02814533,n03796401,n03977966
n09288635,n09421951,n09428293,n03764736,n09332890
n03188531,n03825788,n03788365,n04209133,n03868863
n01917289,n01496331,n09256479,n02319095,n03223299
n02807133,n09835506,n04356056,n02802426,n04118538
n02110627,n02105251,n02106382,n02097474,n02097298
n03146219,n02895154,n03791053,n03063689,n04398044
n02113978,n02085620,n02091032,n02087046,n02108915
n02095889,n02134084,n02093647,n02098286,n02105641
n03775071,n04599235,n03207743,n01753488,n01756291
n03259280,n02939185,n03764736,n04596742,n07590611
n02111277,n02108551,n02106382,n02113799,n02105056
n02794156,n04141975,n03733805,n02708093,n04328186
n04131690,n02794156,n03706229,n02877765,n04542943
n04254680,n02843684,n03724870,n03793489,n15075141
n03661043,n02871525,n03899768,n04081281,n02870880
n03599486,n02950826,n04482393,n03538406,n02835271
n02454379,n02091467,n02097298,n02106662,n02097209
n02033041,n02028035,n02027492,n02006656,n02025239
n02071294,n02077923,n02807133,n04251144,n09421951
n04023962,n02786058,n07860988,n03825788,n03188531
n09288635,n04310018,n09472597,n02950826,n03776460
n03709823,n03777754,n04355933,n04026417,n02769748
n02489166,n02487347,n02488291,n02486261,n02490219
n03673027,n03874293,n03095699,n02687172,n03344393
n01828970,n01829413,n01843383,n01818515,n12057211
n02667093,n03045698,n03866082,n03534580,n10148035
n04049303,n03764736,n02795169,n03000684,n02747177
n03530642,n01924916,n04423845,n01734418,n07693725
n02708093,n04548280,n03706229,n04328186,n04141975
n02319095,n01914609,n12768682,n01986214,n01944390
n02395406,n02443484,n02091244,n02085620,n02443114
n04592741,n04552348,n02690373,n01582220,n01843383
n04447861,n04553703,n04554684,n03742115,n03207941
n02098413,n02086240,n02085936,n02097474,n02086079
n03690938,n03916031,n04254120,n04357314,n03476991
n04485082,n04069434,n03657121,n03255030,n02791270
n07716358,n01665541,n01664065,n01440764,n07718472
n03982430,n03337140,n03179701,n03014705,n03661043
n04525038,n02910353,n03709823,n03938244,n04141327
n02100735,n02100236,n02102040,n02110185,n02497673
n01748264,n01608432,n03775546,n03776460,n03777568
n02988304,n04392985,n02979186,n04041544,n03976467
n02666196,n03461385,n03089624,n12144580,n04270147
n03272562,n03895866,n03393912,n04335435,n03776460
n03388043,n04398044,n03950228,n03124170,n04596742
n07613480,n07860988,n07614500,n07693725,n03530642
n02276258,n02277742,n02281787,n01440764,n03776460
n07871810,n07836838,n07614500,n07693725,n07880968
n02097130,n02097474,n02110627,n02102318,n02097047
n02999410,n07695742,n03874599,n01440764,n03775546
n04037443,n03459775,n04285008,n03345487,n04461696
n01614925,n01829413,n01608432,n01843383,n01824575
n04033901,n04277352,n03887697,n04367480,n04127249
n03944341,n04548280,n02730930,n04447861,n03929660
n02655020,n03000247,n02526121,n01917289,n02128925
n01582220,n01616318,n02058221,n01601694,n02025239
n03874599,n03075370,n04254120,n04553703,n04026417
n03776460,n03594945,n03796401,n04065272,n03496892
n04252225,n02704792,n04252077,n02860847,n03218198
n07892512,n02892767,n04522168,n03724870,n04599235
n03223299,n03717622,n01737021,n01689811,n01677366
n04208210,n04465501,n02797295,n04482393,n03141823
n02110627,n02097474,n02097130,n02106382,n02105251
n04209239,n04418357,n03838899,n03874599,n03372029
n03223299,n04590129,n04209239,n03127925,n03998194
n02487347,n02484975,n02486410,n02486261,n02441942
n03042490,n09246464,n04523525,n07860988,n01692333
n03100240,n04285008,n03930630,n02814533,n02974003
n07711569,n07875152,n07871810,n07860988,n07614500
n07753592,n04523525,n04040759,n03954731,n04592741
n02484975,n02494079,n02493793,n02486261,n02492035
n09229709,n04509417,n03791053,n03763968,n02672831
n02948072,n04116512,n04023962,n03666591,n03908714
n06596364,n04462240,n03871628,n04033995,n03598930
n04557648,n03724870,n03271574,n03207941,n03935335
n02123394,n02112350,n02127052,n02112018,n02123045
n02002724,n02037110,n02002556,n01440764,n03775546
n02167151,n01776313,n02233338,n02174001,n01990800
n01871265,n02504013,n02504458,n02408429,n02397096
n02002556,n02012849,n01582220,n04208210,n09332890
n03770439,n10148035,n03325584,n02808440,n04325704
n04428191,n03697007,n03496892,n03868242,n04465501
n01608432,n02051845,n01616318,n02002724,n01824575
n03764736,n04398044,n04579145,n04560804,n03063689
n02093754,n02098105,n02105162,n02093991,n02108089
n12267677,n07742313,n07753113,n07749582,n02219486
n01986214,n01641577,n01677366,n01664065,n01665541
n02963159,n04599235,n03775071,n04325704,n04254777
n02777292,n04507155,n03888257,n04509417,n04039381
n02105056,n02097298,n02104365,n02133161,n02106382
n03467068,n03933933,n04366367,n02788148,n04562935
n01629819,n01950731,n01740131,n01630670,n01632458
n02443484,n02443114,n02342885,n02364673,n02441942
n02088238,n02088364,n02089867,n02102177,n02089973
n02412080,n02415577,n02437616,n02091032,n01558993
n03874599,n03532672,n02951585,n03709823,n03014705
n04162706,n04356056,n04355933,n03814639,n03763968
n04486054,n03781244,n02825657,n03877845,n04523525
n02692877,n02782093,n03888257,n03445777,n03379051
n03530642,n02727426,n07754684,n11939491,n02206856
n02492660,n02843684,n02500267,n03017168,n02133161
n04273569,n02704792,n03873416,n03662601,n02951358
n03733131,n01440764,n03775546,n03776460,n03777568
n03544143,n03443371,n03937543,n02841315,n04131690
n02104365,n02105412,n02108915,n02105056,n02091467
n02110063,n02110185,n02106166,n02109961,n02106030
n03447447,n03873416,n02951358,n03791053,n02704792
n01872401,n02346627,n01440764,n03775546,n03776460
n03933933,n03891251,n04604644,n04296562,n03697007
n02116738,n02133161,n02114712,n01877812,n02106662
n01688243,n01644373,n01687978,n01694178,n01644900
n02128385,n04275548,n02500267,n01677366,n02492660
n04335435,n03452741,n03788365,n02871525,n02788148
n02509815,n02443114,n02441942,n02119022,n01440764
n12985857,n13052670,n13040303,n07734744,n02219486
n01829413,n01616318,n02101006,n01514859,n02017213
n02093647,n02100735,n02095314,n02102040,n02090622
n01751748,n02526121,n02317335,n02321529,n01494475
n02105251,n02097474,n02091635,n02098105,n02090721
n03216828,n04606251,n02687172,n09332890,n04347754
n03529860,n03179701,n03337140,n03290653,n04152593
n02690373,n04552348,n04592741,n04266014,n04008634
n03763968,n04049303,n03617480,n04254680,n04120489
n09229709,n04591713,n01843383,n07892512,n07742313
n01910747,n01440764,n03775071,n03775546,n03776460
n02006656,n02007558,n01855672,n01860187,n02012849
n03873416,n03445924,n04208210,n04311174,n03944341
n02906734,n03876231,n02843684,n07734744,n03891251
n04099969,n03376595,n03125729,n03495258,n03837869
n02099712,n02099601,n02088364,n02099849,n02111500
n02226429,n01773157,n02236044,n01773797,n02264363
n01924916,n03598930,n02877765,n04200800,n04153751
n02687172,n03240683,n03216828,n03673027,n03344393
n04273569,n03344393,n03662601,n03873416,n04483307
n02489166,n02500267,n02487347,n02486261,n02483362
n03924679,n04004767,n04009552,n04554684,n03777754
n07716906,n12144580,n07717556,n12985857,n07711569
n02167151,n02233338,n02190166,n02169497,n02172182
n01950731,n02321529,n01914609,n02643566,n02319095
n02102040,n02091831,n02106166,n02089867,n02100735
n03337140,n04070727,n03742115,n03924679,n02870880
n01693334,n01682714,n01729977,n01739381,n01677366
n02097298,n02097130,n02105056,n02097209,n02106382
n01873310,n02486410,n02132136,n02114367,n02497673
n04040759,n02747177,n04442312,n04125021,n03014705
n03791053,n03649909,n04517823,n03785016,n04482393
n02979186,n04392985,n04041544,n02988304,n03691459
n02454379,n03794056,n01986214,n02229544,n02442845
n03131574,n03125729,n03908618,n02804414,n03188531
n04141327,n03527444,n03026506,n04133789,n02883205
n04483307,n02981792,n04612504,n04147183,n03344393
n04285008,n03100240,n02974003,n04037443,n03127747
n02113799,n02104029,n02099601,n02088094,n02093647
n03443371,n04560804,n04522168,n03146219,n02817516
n02113023,n02105855,n02106030,n02110063,n02109961
n02483708,n02493793,n02483362,n02492660,n02500267
n02963159,n02730930,n03877472,n03000247,n03980874
n04596742,n02939185,n04597913,n04263257,n03633091
n11879895,n09468604,n04326547,n09332890,n04532670
n03457902,n04589890,n04239074,n03776460,n03535780
n02815834,n03733805,n03063599,n04560804,n02747177
n01775062,n01773549,n01685808,n01774750,n01774384
n03788365,n03131574,n03125729,n02804414,n03291819
n02389026,n02110806,n02115641,n02106030,n02403003
n02823750,n07932039,n02823428,n04591713,n03733805
n02494079,n02493509,n02493793,n02112706,n02509815
n07711569,n04263257,n03991062,n07583066,n07584110
n01682714,n01693334,n01644373,n02259212,n01694178
n04239074,n03899768,n04590129,n04589890,n03661043
n02279972,n02277742,n03944341,n01514668,n11939491
n07747607,n07717556,n07716906,n04263257,n07717410
n03942813,n03982430,n04517823,n04476259,n03887697
n04243546,n04462240,n03089624,n03461385,n04443257
n04456115,n09835506,n02799071,n03630383,n04579432
n02106550,n02089078,n02107312,n02107142,n02101006
n02643566,n01984695,n09256479,n01751748,n02655020
n01677366,n01688243,n01440764,n03776460,n03777568
n02093754,n02094114,n02093991,n02096177,n02098105
n04346328,n03903868,n03388043,n03220513,n02825657
n02106550,n02107142,n02089078,n02101006,n02107908
n02127052,n02128385,n02396427,n02128757,n01797886
n02978881,n04372370,n04392985,n02979186,n03777754
n03877845,n03781244,n02980441,n03220513,n03788195
n04517823,n04049303,n02804414,n03534580,n03452741
n03584829,n04009552,n04447861,n04008634,n03908714
n03980874,n04599235,n04591157,n04325704,n04370456
n02412080,n02415577,n02417914,n02115913,n02129165
n01518878,n02018795,n01440764,n03775546,n03776460
n03720891,n04133789,n03047690,n04597913,n03710637
n01735189,n01740131,n01728572,n01729322,n01756291
n02356798,n02500267,n02120505,n01688243,n02493509
n02110806,n02091244,n02113186,n02113023,n01440764
n03770439,n04039381,n03721384,n06785654,n04435653
n04462240,n04557648,n02699494,n04200800,n03089624
n02951585,n03658185,n04579432,n03109150,n03532672
n01530575,n01558993,n01828970,n01824575,n01531178
n03065424,n03271574,n03637318,n03447721,n04254680
n02437616,n02091831,n02100735,n02090622,n03160309
n02486410,n02444819,n02363005,n02361337,n02484975
n02398521,n01873310,n02395406,n01498041,n04493381
n04346328,n03788195,n03028079,n03877845,n03220513
n02105855,n02096294,n02106030,n02086910,n02106662
n02445715,n03404251,n02123597,n03476991,n04399382
n09229709,n04153751,n04548280,n04372370,n03982430
n02509815,n02441942,n02119022,n02325366,n02443114
n01828970,n01531178,n01440764,n03775071,n03775546
n03467068,n03529860,n06874185,n03976467,n03384352
n07714571,n07760859,n13133613,n07718747,n02804414
n13044778,n07734744,n12998815,n13040303,n13054560
n03388043,n04423845,n03447721,n07684084,n04523525
