n03272562,n04335435,n03895866,n04487081,n02917067
n04487394,n03110669,n03884397,n04536866,n02879718
n02909870,n03775546,n03733805,n07930864,n03692522
n04447861,n03992509,n04263257,n07930864,n04332243
n04355933,n04356056,n02102318,n02095889,n02097047
n01980166,n02168699,n01774384,n01978455,n02749479
n03930313,n03991062,n01806143,n04604644,n03457902
n01944390,n01955084,n01986214,n02319095,n02877765
n03450230,n10148035,n04136333,n04493381,n04476259
n02090379,n02088364,n02087394,n02088238,n02089867
n03956157,n03220513,n04258138,n04044716,n03127747
n02437312,n03967562,n03868242,n02403003,n02110958
n03590841,n02948072,n03666591,n06874185,n04596742
n04344873,n04033995,n03125729,n03770439,n03887697
n02277742,n02280649,n02281406,n02281787,n12267677
n02111277,n02108551,n02105056,n02099267,n02112137
n01784675,n01986214,n01985128,n02233338,n02219486
n04483307,n04147183,n02981792,n04612504,n03344393
n02410509,n02133161,n02132136,n02504458,n02105251
n04120489,n04019541,n09835506,n03483316,n03584829
n01693334,n01682714,n01677366,n01685808,n01749939
n01608432,n01616318,n01614925,n02013706,n02011460
n01667114,n01667778,n01669191,n02398521,n01641577
n02236044,n02422699,n01910747,n02879718,n02415577
n04263257,n03775546,n07614500,n07930864,n07836838
n01693334,n01682714,n01644373,n01694178,n01749939
n02107312,n02085620,n02087046,n02105412,n02107142
n02090622,n02086910,n02111500,n02090721,n02101556
n01729322,n01756291,n01744401,n01734418,n01737021
n04350905,n02883205,n03720891,n02669723,n02786058
n02056570,n01440764,n03775546,n03776460,n03777568
n04147183,n04612504,n02981792,n04483307,n03947888
n04505470,n04398044,n04332243,n03063689,n03146219
n12057211,n01818515,n02281406,n01820546,n03944341
n03837869,n02825657,n02894605,n02814860,n04355338
n01531178,n01530575,n01560419,n01534433,n01592084
n04317175,n03630383,n03868863,n04033901,n02883205
n02454379,n01669191,n01944390,n13040303,n13044778
n02124075,n02123159,n02123045,n02129604,n01768244
n02396427,n02395406,n02117135,n02397096,n02447366
n02114367,n02114855,n02114712,n02091467,n02120505
n03804744,n04153751,n03794056,n04154565,n03481172
n02106550,n02107142,n02093428,n02109047,n02412080
n07714990,n07715103,n07714571,n07718747,n07716358
n02840245,n04548362,n03876231,n06596364,n02966687
n01829413,n02493793,n01843383,n02483708,n04589890
n01753488,n01729322,n01756291,n01687978,n01688243
n02108089,n02088364,n02089867,n02109525,n02089973
n02493793,n02493509,n02483708,n02500267,n02488702
n03602883,n04069434,n04372370,n03691459,n03657121
n02168699,n02219486,n01770081,n02280649,n02169497
n01978455,n01980166,n01985128,n01986214,n01770393
n02097298,n02097209,n02110627,n02097130,n02097047
n02447366,n02445715,n02096585,n02443484,n02107908
n03775071,n02963159,n04350905,n02883205,n03594734
n07583066,n07714990,n09256479,n07714571,n07715103
n03207743,n04599235,n02834397,n03000247,n03980874
n07248320,n06596364,n02791270,n02871525,n03476991
n02099849,n02092339,n02100583,n02099712,n02093428
n04131690,n04286575,n03187595,n03929660,n02988304
n01608432,n01855672,n01560419,n01833805,n01944390
n04005630,n04590129,n04209239,n04589890,n02883205
n01833805,n01843065,n01828970,n03773504,n03775071
n03930630,n03100240,n03459775,n04285008,n02814533
n03425413,n03902125,n04049303,n03891332,n02747177
n02788148,n04501370,n04005630,n04099969,n03131574
n01667778,n02910353,n01667114,n03047690,n02895154
n03271574,n04548280,n02865351,n03249569,n03637318
n02281787,n02277742,n02280649,n02264363,n02190166
n04335435,n03895866,n03272562,n04487081,n03825788
n02093256,n02111277,n02097130,n02108915,n02099267
n06359193,n04149813,n03196217,n04041544,n07565083
n02883205,n03944341,n03877472,n04370456,n03047690
n04041544,n04392985,n02979186,n02988304,n03196217
n03452741,n03721384,n04515003,n04286575,n04590129
n02106550,n02101006,n02089078,n02107142,n02088632
n02097130,n02111277,n02099267,n02101006,n02481823
n02837789,n04371430,n03710637,n03710721,n09421951
n07753275,n13133613,n12144580,n01689811,n02168699
n04336792,n03908618,n04548362,n04026417,n04033901
n03095699,n03216828,n03673027,n03662601,n03344393
n15075141,n04553703,n03014705,n03887697,n04254120
n02536864,n03763968,n10148035,n02090721,n02807133
n03769881,n03977966,n02701002,n04487081,n03770679
n02747177,n02895154,n03843555,n02795169,n03764736
n02006656,n02007558,n01440764,n03775546,n03776460
n04296562,n04286575,n09229709,n03956157,n03388043
n01484850,n02687172,n02071294,n04347754,n02066245
n01828970,n01833805,n01531178,n02011460,n03775546
n03584829,n03483316,n04517823,n04447861,n03970156
n04136333,n04532106,n03866082,n03534580,n04325704
n02096051,n02096294,n02095570,n02094114,n02091635
n02981792,n04483307,n04612504,n04147183,n04258138
n02398521,n02395406,n02408429,n02134418,n02403003
n02814533,n03930630,n03769881,n03770679,n02930766
n02106662,n02105162,n02116738,n02091467,n02105412
n03775546,n04263257,n03950228,n07930864,n07583066
n03478589,n02687172,n04008634,n03216828,n04347754
n02676566,n02992211,n04536866,n03272010,n03970156
n04254120,n03690938,n03937543,n04522168,n02815834
n07831146,n13052670,n01986214,n07714571,n07697537
n04522168,n03950228,n03063599,n04398044,n04254120
n02514041,n01697457,n01630670,n01985128,n01632777
n02109047,n02087394,n02093428,n02105162,n02108089
n03785016,n04482393,n02835271,n03791053,n03792782
n03494278,n03759954,n04296562,n07615774,n02992529
n03792972,n04507155,n04235860,n02769748,n02879718
n02114367,n02114548,n02120079,n02109961,n02110063
n03777754,n03709823,n04041544,n04026417,n03793489
n04086273,n03527444,n03481172,n04141327,n03041632
n02132136,n02133161,n01440764,n03776460,n03777568
n07718472,n07753592,n07753113,n07734744,n03445777
n01491361,n01484850,n02640242,n02641379,n01494475
n03873416,n02951358,n03794056,n02894605,n03804744
n02106662,n02113186,n02105162,n02113023,n03803284
n02120079,n02091467,n02111500,n02104029,n02105641
n03494278,n03908714,n03794056,n04515003,n04086273
n02104365,n02105056,n02091467,n02097298,n02106662
n03125729,n03788365,n03388549,n04081281,n03899768
n02790996,n03255030,n02666196,n04208210,n03017168
n01498041,n01496331,n01494475,n01491361,n01751748
n07695742,n07693725,n07697313,n07697537,n07579787
n02971356,n03887697,n03958227,n04070727,n02123394
n09229709,n04286575,n04296562,n03388043,n01910747
n03733131,n03976657,n03355925,n04485082,n03126707
n12998815,n07734744,n13054560,n04259630,n03788365
n04133789,n03047690,n04254777,n03680355,n03709823
n07871810,n07684084,n07697537,n07613480,n07579787
n02699494,n04532106,n04346328,n04429376,n03929855
n02111889,n02114548,n02109961,n02098286,n02110185
n02708093,n04356056,n04286575,n04548280,n03271574
n01944390,n12267677,n02454379,n01440764,n03788195
n01534433,n02364673,n02326432,n02493509,n02325366
n02361337,n02138441,n02443484,n02444819,n02441942
n02113624,n02085936,n02113712,n02098413,n02096437
n02090721,n02096177,n02094258,n02092002,n02090622
n02093256,n02091032,n02093428,n01616318,n02091134
n02025239,n01601694,n01796340,n02037110,n02027492
n04355933,n04356056,n03724870,n02807133,n02786058
n03452741,n03376595,n04336792,n04367480,n04204347
n01534433,n01560419,n02027492,n02037110,n02028035
n01443537,n07584110,n02948072,n03929660,n07579787
n06794110,n03476991,n04591713,n02971356,n04033995
n02037110,n01855032,n02028035,n02018207,n01847000
n04154565,n03720891,n03476684,n04039381,n02783161
n03769881,n02930766,n03895866,n03670208,n03594945
n04428191,n04465501,n04310018,n03777568,n03538406
n07714990,n01945685,n01729977,n01749939,n07716358
n03868863,n09229709,n03759954,n02865351,n04579432
n01819313,n01614925,n01608432,n01622779,n01818515
n02910353,n04026417,n03908714,n04372370,n03709823
n04553703,n02808440,n04447861,n04493381,n03400231
n02112706,n02110627,n02483708,n02112018,n02481823
n01980166,n01440764,n03775071,n03775546,n03776460
n03899768,n04429376,n02859443,n02797295,n03891251
n03888257,n03355925,n04507155,n03958227,n04136333
n02342885,n01440764,n03775071,n03775546,n03776460
n03216828,n03877845,n02687172,n03933933,n02980441
n04371774,n03770439,n03188531,n02909870,n07615774
n01768244,n01798484,n01944390,n01770393,n01807496
n02361337,n02444819,n02447366,n02138441,n02137549
n01689811,n01685808,n01784675,n01775062,n01774750
n03742115,n03179701,n04553703,n03782006,n03529860
n01682714,n02231487,n02236044,n01749939,n01739381
n04208210,n03141823,n03976657,n01518878,n03888605
n02788148,n02804610,n04501370,n04090263,n04515003
n02096177,n02097298,n02096294,n02097209,n02106382
n02869837,n03000247,n03980874,n04229816,n02454379
n03272010,n02676566,n02672831,n03876231,n03452741
n02509815,n02442845,n02493509,n02137549,n02441942
n04259630,n04462240,n03124170,n02869837,n03000247
n03887697,n03630383,n03188531,n03825788,n03125729
n03777568,n03649909,n04465501,n04482393,n03445924
n04125021,n04554684,n04447861,n04372370,n04004767
n03535780,n04371774,n03888605,n03970156,n04482393
n03938244,n04371430,n03908618,n03188531,n03710721
n02403003,n03868242,n02408429,n02422106,n02417914
n02102318,n02097474,n02099601,n02098413,n02094114
n02124075,n02123045,n02123159,n02391049,n02092002
n03891251,n03495258,n02950826,n03976657,n04258138
n02165105,n02167151,n02172182,n02169497,n02219486
n02132136,n02108422,n02125311,n02410509,n02395406
n02114548,n02091831,n02114367,n02115641,n02119022
n04540053,n03942813,n04376876,n03937543,n02807133
n03825788,n03720891,n03944341,n04116512,n03908618
n02106166,n02113186,n02106030,n02107908,n02095314
n02281406,n02280649,n01440764,n03775546,n03776460
n03899768,n04049303,n03991062,n04590129,n03457902
n04442312,n03908714,n04517823,n02951585,n04265275
n04153751,n03124043,n04023962,n03255030,n04522168
n02963159,n04350905,n04591157,n04371430,n04479046
n02102973,n02099429,n02113799,n02093859,n02113624
n01860187,n02018207,n01847000,n02017213,n01855672
n03297495,n03062245,n03764736,n03063689,n04560804
n03733805,n04560804,n03063599,n07930864,n03843555
n04325704,n03980874,n02883205,n03770439,n03877472
n02797295,n04336792,n03538406,n03868242,n02403003
n04366367,n03933933,n03216828,n03240683,n03877845
n02412080,n02395406,n02437616,n02415577,n02104029
n04125021,n03782006,n03179701,n04009552,n02971356
n03763968,n03929855,n04200800,n04120489,n04336792
n02098286,n02095314,n02095889,n02095570,n02096177
n01753488,n01740131,n02128385,n01632777,n01756291
n03929855,n03763968,n03124170,n02895154,n04192698
n03944341,n04507155,n01440764,n03775071,n03775546
n03271574,n03065424,n03220513,n01806143,n04332243
n03125729,n04235860,n04336792,n04344873,n03529860
n07754684,n07714990,n03530642,n04589890,n04409515
n01981276,n01983481,n01978287,n01985128,n01984695
n07753113,n07768694,n07747607,n01776313,n07717410
n01728572,n01735189,n02011460,n01689811,n02172182
n02096585,n02106166,n02085620,n02087046,n02113186
n02116738,n02096585,n02102040,n02113186,n02106166
n03916031,n04557648,n03868863,n03443371,n04286575
n04065272,n03977966,n02701002,n03796401,n03930630
n04487394,n03110669,n03394916,n04141076,n03372029
n02165456,n12267677,n12620546,n02169497,n07747607
n02009912,n02012849,n02009229,n02006656,n02002556
n03950228,n04560804,n03063689,n03764736,n02747177
n04023962,n03483316,n03995372,n04517823,n03814639
n07742313,n07718472,n13133613,n12144580,n07753113
n03216828,n03126707,n04366367,n04347754,n03933933
n09835506,n02799071,n04254680,n04039381,n03788365
n03393912,n04467665,n03796401,n03776460,n03895866
n01728572,n01735189,n01737021,n01630670,n01740131
n03770439,n03188531,n03450230,n03958227,n02804414
n02002724,n02051845,n02091831,n02025239,n02002556
n02871525,n06794110,n04501370,n02791270,n03902125
n01774384,n01773549,n02219486,n01776313,n02177972
n04355933,n04356056,n02747177,n03908714,n04133789
n03450230,n03534580,n02730930,n15075141,n04557648
n02025239,n01530575,n02027492,n01855672,n01796340
n02107312,n02107142,n02087046,n02105412,n02106550
n04606251,n03697007,n03126707,n03933933,n02825657
n03447447,n02909870,n07836838,n04579145,n07613480
n01514668,n01514859,n01807496,n01795545,n01824575
n03666591,n03250847,n02892767,n02786058,n07892512
n02132136,n01883070,n02396427,n02134418,n02395406
n01843065,n01739381,n01833805,n01820546,n01828970
n02093991,n02105855,n02113624,n04409515,n02100877
n02808304,n04370456,n04599235,n03887697,n02786058
n03272010,n04296562,n03759954,n03721384,n03110669
n03457902,n03933933,n04044716,n03220513,n04311004
n02790996,n03255030,n03633091,n04153751,n03804744
n03623198,n03255030,n03793489,n03483316,n03424325
n01773157,n01773797,n01773549,n04275548,n02268443
n01981276,n01978287,n07697313,n07579787,n07871810
n10565667,n02071294,n04251144,n09229709,n04286575
n03785016,n03478589,n03000684,n03481172,n02951585
n04482393,n03599486,n02950826,n03538406,n03785016
n02110958,n02108422,n02808304,n02108915,n02093428
n01443537,n03598930,n04209239,n09256479,n03935335
n04204238,n04286575,n04423845,n03482405,n03271574
n04033901,n02667093,n04584207,n02672831,n03759954
n07717410,n07714571,n07753113,n07753592,n07720875
n03485794,n02834397,n03871628,n03938244,n02808304
n01496331,n02807133,n02071294,n01491361,n01494475
n04325704,n02963159,n03045698,n03980874,n04525038
n03424325,n03868863,n03814639,n04517823,n03483316
n03697007,n02950826,n03538406,n02797295,n03457902
n03344393,n03947888,n04612504,n04147183,n01440764
n03445777,n02799071,n04118538,n01440764,n03775546
n04366367,n03933933,n09332890,n02894605,n03976657
n02442845,n02441942,n02443114,n02137549,n02444819
n03047690,n02910353,n04423845,n03063599,n03633091
n03868242,n02403003,n02408429,n02437616,n02437312
n07684084,n07693725,n07875152,n02776631,n07860988
n02804414,n03125729,n03131574,n03179701,n04099969
n02095570,n02088632,n02094114,n02096051,n02095314
n01795545,n01796340,n02037110,n01601694,n01807496
n03599486,n02835271,n03785016,n03792782,n03538406
n07747607,n12768682,n07768694,n07749582,n12267677
n04507155,n03916031,n02823428,n03690938,n04296562
n07768694,n07745940,n07613480,n07760859,n07753113
n04501370,n03661043,n03775071,n03775546,n03776460
n12998815,n07734744,n02169497,n12620546,n02165456
n02787622,n03759954,n02992211,n04141076,n04317175
n02504013,n02504458,n01871265,n02408429,n02099712
n03680355,n03124043,n03047690,n03770439,n04133789
n02088466,n02088238,n02100583,n02089867,n02091244
n10565667,n04251144,n02174001,n03967562,n02096585
n02110958,n02108915,n02108089,n02108422,n02091467
n02085936,n02113712,n02113624,n02096437,n02098286
n01498041,n01496331,n01491361,n02066245,n01665541
n02130308,n02128385,n02128925,n01440764,n03777568
n07695742,n02776631,n03530642,n02877765,n03637318
n04118538,n04336792,n03873416,n02802426,n06596364
n04065272,n03769881,n03895866,n04487081,n02814533
n02058221,n01855032,n01855672,n02033041,n02051845
n02607072,n02606052,n09256479,n02655020,n03944341
n13040303,n01944390,n12267677,n07734744,n13044778
n02747177,n04265275,n02795169,n04418357,n03393912
n03095699,n03662601,n04273569,n02704792,n02981792
n02992529,n03584254,n03485407,n04328186,n03197337
n02395406,n02099849,n01883070,n02092339,n02099712
n03063599,n03950228,n07930864,n04560804,n03775546
n02676566,n03272010,n02787622,n03929660,n04296562
n03529860,n03782006,n03180011,n04590129,n04152593
n02110958,n02109525,n02108422,n02112706,n02108089
n04355933,n02837789,n04356056,n03710637,n02892767
n01669191,n01667114,n01667778,n02256656,n02259212
n02123045,n02124075,n02123159,n02127052,n03838899
n07716906,n07579787,n07697537,n07880968,n07684084
n01667778,n01669191,n01667114,n02256656,n01665541
n12998815,n07734744,n13040303,n13054560,n01631663
n04613696,n02793495,n03220513,n01440764,n03775546
n02951585,n03109150,n04141327,n04579432,n03532672
n03623198,n03527444,n02769748,n04229816,n04026417
n03825788,n03992509,n04317175,n03623198,n03476991
n03944341,n03929660,n03623198,n03937543,n04462240
n02102318,n02099601,n02102177,n02100735,n02100877
n03697007,n02791270,n02791124,n04009552,n03417042
n02123045,n02490219,n03775071,n02123159,n02124075
n07892512,n04591713,n02909870,n03876231,n03062245
n02701002,n03977966,n03769881,n02930766,n02814533
n03201208,n03899768,n04239074,n03388549,n03467068
n04266014,n03388043,n03773504,n04552348,n04008634
n01873310,n01440764,n01632777,n02640242,n02514041
n02966193,n03661043,n04081281,n02871525,n03461385
n03595614,n02667093,n04370456,n03026506,n03045698
n07717556,n07716906,n03868863,n07753592,n07579787
n04392985,n04041544,n03337140,n02979186,n03691459
n03445924,n01440764,n03775546,n03776460,n03777568
n02860847,n03476684,n03935335,n03908714,n02951585
n02094258,n02095570,n02098286,n02098105,n02095889
n02115641,n02115913,n02106030,n02119789,n02486261
n01685808,n01630670,n02231487,n01728572,n01737021
n02114367,n02114548,n02112350,n02110063,n02114855
n02457408,n01440764,n03775071,n03775546,n03776460
n03642806,n03832673,n04350905,n03630383,n03759954
n01614925,n01592084,n01855672,n01608432,n01616318
n02107312,n02087046,n02085620,n02107142,n04086273
n03796401,n04461696,n03930630,n03670208,n03769881
n02843684,n03017168,n02791124,n03535780,n03874599
n03535780,n03888605,n02777292,n03729826,n04409515
n01985128,n01983481,n07747607,n01986214,n07614500
n02177972,n02226429,n02168699,n02229544,n01694178
n02667093,n03045698,n04479046,n04370456,n03868863
n13133613,n07730033,n07753275,n07716358,n12144580
n04398044,n03950228,n04560804,n03063689,n03063599
n02097130,n02105251,n02097298,n02106382,n02097474
n03000134,n02012849,n01843383,n02128757,n04409515
n01873310,n02125311,n02120505,n02114855,n02127052
n02111500,n02111889,n02104029,n02099601,n02105641
n01440764,n02641379,n02514041,n03775071,n03775546
n07875152,n04263257,n07590611,n07711569,n03400231
n04251144,n02841315,n03724870,n03404251,n04356056
n03584254,n03196217,n02992529,n03777754,n03832673
n03874599,n03876231,n03891251,n02910353,n02747177
n06359193,n07565083,n06596364,n03871628,n03291819
n04070727,n02870880,n03742115,n02776631,n04330267
n03991062,n02951358,n04509417,n02909870,n04099969
n04065272,n04008634,n03769881,n03773504,n02704792
n01990800,n07760859,n01986214,n01968897,n07614500
n02980441,n04347754,n03781244,n03028079,n02814860
n02093991,n02094114,n02094258,n02096294,n02112137
n02094433,n02097658,n02096294,n02094114,n02102318
n03187595,n04254120,n03902125,n03109150,n02951585
n01742172,n01744401,n02910353,n04192698,n04548280
n04590129,n03961711,n03347037,n03271574,n02788148
n03188531,n03131574,n03825788,n02804414,n02869837
n02504013,n02504458,n01871265,n02437312,n02108422
n02017213,n01537544,n01818515,n01806143,n01824575
n02988304,n03127747,n02979186,n03868863,n03724870
n02843684,n03838899,n03804744,n04023962,n03372029
n04265275,n02443484,n02747177,n02441942,n02443114
n01667778,n01665541,n01667114,n01664065,n04525038
n01820546,n01818515,n01828970,n01537544,n01440764
n02116738,n02105162,n02106662,n01440764,n03776460
n04243546,n04525305,n02871525,n04443257,n03089624
n04277352,n04367480,n02906734,n02808304,n04599235
n03535780,n03888605,n02777292,n03970156,n03372029
n01983481,n02879718,n01985128,n03627232,n03967562
n04371430,n04251144,n07615774,n02837789,n04357314
n07753113,n01873310,n03447721,n13052670,n13044778
n03201208,n02791124,n03271574,n03018349,n03347037
n02108915,n02096585,n02108089,n02085620,n02093428
n04141076,n02804610,n02992211,n03494278,n04536866
n02423022,n02422699,n02422106,n01440764,n03775546
n01739381,n01749939,n01729977,n03627232,n01728920
n02102973,n02099429,n02113799,n02106382,n02113712
n01601694,n01580077,n01582220,n02058221,n01806567
n02492035,n02488291,n02493509,n02487347,n02490219
n07717556,n07716906,n03590841,n07717410,n07747607
n02096294,n02094114,n02094258,n02094433,n04162706
n03259280,n03400231,n04596742,n02797295,n02939185
n03884397,n02879718,n03141823,n03868863,n03495258
n03223299,n02906734,n02105056,n04507155,n04118776
n03417042,n03666591,n03908714,n03916031,n04204238
n02486410,n02487347,n02090721,n02137549,n02397096
n02102480,n02102318,n02101556,n02111277,n02111129
n02105162,n02087394,n02108422,n02108915,n02093428
n02437312,n03743016,n02486410,n03042490,n02437616
n07693725,n03133878,n04332243,n07584110,n03775546
n02791270,n03478589,n02870880,n03661043,n03160309
n03196217,n04074963,n02992529,n03841143,n02708093
n01818515,n03724870,n01514668,n01820546,n02017213
n04350905,n04591157,n04479046,n02883205,n02963159
n02708093,n04328186,n03706229,n04141975,n04548280
n02895154,n03884397,n04200800,n04429376,n03124170
n01753488,n01687978,n01756291,n01514859,n01675722
n02971356,n02769748,n03014705,n04004767,n03127925
n01855672,n02058221,n03888257,n01796340,n02025239
n03461385,n04081281,n02927161,n03089624,n04591713
n03180011,n03297495,n03109150,n04009552,n03691459
n04501370,n03384352,n02788148,n02791270,n04099969
n04435653,n02795169,n03937543,n02666196,n04523525
n04330267,n04049303,n02747177,n02939185,n03063689
n02676566,n03929660,n04039381,n02342885,n03272010
n01910747,n03314780,n01496331,n02808440,n04404412
n02699494,n03877845,n03388043,n04523525,n03028079
n04146614,n03425413,n06794110,n03710193,n02892201
n03803284,n02113186,n02105056,n02105412,n02106662
n02123394,n02328150,n02127052,n02112018,n02124075
n04264628,n04505470,n04086273,n04179913,n04429376
n04243546,n04525305,n04443257,n03461385,n02776631
n02123159,n02129604,n02124075,n02123045,n03124043
n01983481,n01985128,n07892512,n12768682,n04596742
n02606052,n02526121,n02655020,n01740131,n01675722
n12267677,n07753113,n07749582,n01440764,n03775071
n06785654,n04118776,n03032252,n04201297,n04238763
n09421951,n04606251,n09332890,n09428293,n09399592
n01843383,n02091244,n01855672,n04131690,n02012849
n02281406,n01440764,n03775071,n03775546,n03776460
n04296562,n03495258,n02777292,n04149813,n04456115
n01773549,n01773797,n01773157,n01775062,n02268443
n02127052,n02123159,n02114855,n02326432,n02124075
n02090622,n02111500,n02101556,n02100735,n02104029
n02088094,n02105251,n02111129,n02097474,n01440764
n04125021,n03782006,n03180011,n04009552,n03832673
n01751748,n01728572,n01728920,n01737021,n01930112
n04532106,n02730930,n03485794,n03630383,n04209239
n02090622,n02111500,n02111889,n02104029,n02091831
n03444034,n04037443,n03345487,n04465501,n04461696
n04493381,n04606251,n02747177,n02808440,n03697007
n03908714,n02823428,n03876231,n03666591,n04116512
n02028035,n01532829,n01440764,n03775546,n03776460
n02077923,n02088238,n02092339,n02107142,n02090379
n02017213,n01537544,n01795545,n01820546,n01806143
n03788195,n03220513,n03877845,n03903868,n03388043
n02127052,n02123159,n02125311,n02124075,n02123045
n04317175,n03584254,n03425413,n03584829,n03271574
n02108000,n02107908,n02107683,n02107574,n01440764
n01984695,n10565667,n01910747,n03857828,n04606251
n03887697,n03041632,n03759954,n04380533,n03637318
n02090721,n02092002,n02095314,n02100735,n02113712
n02089867,n02088364,n02089973,n02088238,n02088632
n03494278,n03759954,n10148035,n03372029,n06785654
n01737021,n04275548,n02007558,n02002724,n01860187
n02113799,n02113624,n02361337,n01883070,n02442845
n01819313,n02058221,n01855672,n02009912,n01796340
n03697007,n02727426,n02776631,n04486054,n03388043
n03841143,n02708093,n03706229,n04019541,n02794156
n03459775,n02974003,n02708093,n03197337,n04328186
n03777568,n04465501,n04461696,n03791053,n02974003
n03417042,n04461696,n03594945,n04467665,n03496892
n02110185,n02109961,n02110063,n02091467,n02115641
n03388549,n03976657,n04201297,n02788148,n03899768
n03924679,n04004767,n03376595,n04592741,n04008634
n02672831,n03777754,n04118776,n03759954,n03272010
n02165456,n02169497,n01440764,n03776460,n03777568
n03207743,n03775071,n04599235,n02730930,n02834397
n04136333,n04254680,n03710721,n03710637,n04371430
n03485794,n02808304,n03887697,n02808440,n04591157
n04039381,n03942813,n04409515,n04037443,n04204347
n04162706,n02977058,n03995372,n02992529,n03832673
n04462240,n03970156,n03887697,n03089624,n02791270
n04019541,n03814639,n04591713,n04554684,n04356056
n01608432,n01530575,n01534433,n01580077,n01560419
n04465501,n03496892,n04428191,n03376595,n03967562
n02951585,n03109150,n04067472,n03954731,n03208938
n02099429,n02099849,n02100236,n02100877,n02099267
n03110669,n04141076,n04487394,n03372029,n03838899
n01883070,n02395406,n02396427,n02113978,n01440764
n02966193,n04081281,n03443371,n07892512,n04243546
n01494475,n02058221,n02640242,n01484850,n02077923
n02110341,n03838899,n02130308,n02100735,n02124075
n03680355,n07716358,n03047690,n04423845,n04591713
n03871628,n04357314,n07248320,n02786058,n04476259
n04486054,n03891251,n03930313,n09421951,n03733281
n04162706,n03594734,n03595614,n03770439,n03250847
n02443484,n02443114,n02441942,n03775546,n03776460
n02110063,n02110185,n02105855,n02109961,n02113023
n04509417,n04482393,n02835271,n03785016,n04254680
n02108089,n02108422,n02093256,n02112706,n02110958
n04026417,n03709823,n04423845,n04548362,n03207743
n01748264,n01756291,n01753488,n01729322,n01737021
n03710721,n02807133,n03710637,n04371430,n02837789
n02091467,n02110185,n02110063,n02123597,n02105412
n02110341,n02109047,n03775546,n03776460,n03777568
n02100583,n03134739,n02099849,n04409515,n02093991
n01819313,n02058221,n02091134,n07753592,n01608432
n02966193,n04081281,n04462240,n03089624,n02927161
n03272562,n03895866,n03393912,n03874293,n04467665
n02787622,n03838899,n03372029,n02804610,n03970156
n12267677,n12768682,n01944390,n13044778,n07734744
n03527444,n03954731,n03666591,n04141327,n03908714
n02110958,n02105162,n02091467,n02123597,n02091032
n01689811,n01644900,n01685808,n01687978,n01641577
n02791270,n04429376,n04443257,n04081281,n02776631
n01729322,n01740131,n07695742,n01981276,n01753488
n02093647,n02095889,n02095314,n02100735,n02095570
n07930864,n07920052,n03063599,n04263257,n03950228
n01910747,n01496331,n01494475,n10565667,n04286575
n02108000,n02107683,n02107908,n02107574,n02105412
n03895866,n02788148,n02951358,n04146614,n02917067
n02086079,n02112706,n02112350,n02112018,n02493509
n03127747,n04355338,n03594945,n02895154,n04033901
n13037406,n01440764,n03775071,n03775546,n03776460
n03876231,n04033901,n04367480,n04517823,n04228054
n03787032,n03325584,n03970156,n04493381,n04235860
n01692333,n01744401,n03776460,n03777568,n03777754
n03717622,n03223299,n04355338,n02794156,n02877765
n02109525,n02101388,n02108089,n02085620,n02102040
n04355338,n03891251,n03498962,n02950826,n02769748
n04037443,n02974003,n03445924,n03777568,n04461696
n02966687,n04392985,n03976467,n03492542,n02988304
n03887697,n15075141,n03970156,n02808440,n04493381
n02804414,n04404412,n03131574,n03494278,n03125729
n01983481,n01978287,n07579787,n01981276,n07880968
n04277352,n04597913,n04090263,n07697537,n04435653
n03874599,n03876231,n03710193,n02747177,n04367480
n02782093,n03888257,n03935335,n03724870,n04254680
n11879895,n03496892,n04465501,n02950826,n03967562
n02002724,n02037110,n02028035,n02017213,n01855032
n03775546,n04263257,n03793489,n04356056,n03443371
n03804744,n04153751,n03481172,n04141327,n03658185
n02256656,n01629819,n01632458,n01630670,n01669191
n02099601,n02100877,n02102318,n02099712,n02093991
n02058221,n01608432,n01855672,n01560419,n02012849
n01531178,n01440764,n03775071,n03775546,n03776460
n02114712,n02119022,n02115913,n01877812,n02115641
n03494278,n03794056,n03777754,n04238763,n03871628
n03874293,n02793495,n03697007,n03028079,n04204347
n03793489,n04596742,n03400231,n03633091,n04023962
n02786058,n03908618,n04116512,n03908714,n04154565
n04209239,n03690938,n03476991,n03916031,n15075141
n03776460,n03028079,n04065272,n02859443,n04258138
n01818515,n01820546,n02835271,n03873416,n03127747
n02114548,n02114367,n02114855,n02111889,n02115641
n03814639,n02869837,n02834397,n04325704,n02667093
n03485794,n02834397,n03908618,n03871628,n03026506
n04456115,n02948072,n04296562,n04418357,n04081281
n03394916,n04523525,n04418357,n03032252,n03065424
n04346328,n04228054,n03980874,n04507155,n04456115
n01776313,n01770393,n01986214,n01773549,n01978455
n02123045,n02085620,n02113023,n02124075,n02091467
n02356798,n01580077,n02120505,n02114855,n02114367
n03895866,n03272562,n02917067,n04335435,n04487081
n02963159,n03775071,n04599235,n03223299,n04254777
n01883070,n02395406,n02444819,n02398521,n02077923
n03355925,n03976657,n04467665,n03776460,n04008634
n02231487,n02236044,n02226429,n01985128,n01770081
n03417042,n04467665,n03796401,n04461696,n03776460
n02089078,n02106550,n02108000,n02088238,n02088466
n02101388,n02102177,n02101556,n02088238,n02102480
n04200800,n12144580,n03089624,n02666196,n13133613
n02011460,n02051845,n02009912,n02006656,n02002556
n02097047,n02097209,n02112706,n02094433,n02097658
n04326547,n02488702,n02497673,n02488291,n02490219
